Satellite;Center;a;e;w;M;i;node;n;P;Pw;Pnode;R.A.;Dec.;Tilt;
Moon;Earth;384400;0.0554;318.15;135.27;5.16;125.08;13.176358;27.322;5.997;18.600;
Phobos;Mars;9376;0.0151;150.057;91.059;1.075;207.784;1128.8447569;0.3189;1.1316;2.2617;317.671;52.893;0.009;
Deimos;Mars;23458;0.0002;260.729;325.329;1.788;24.525;285.1618790;1.2624;27.3703;54.5367;316.657;53.529;0.889;
Io;Jupiter;421800;0.0041;84.129;342.021;0.036;43.977;203.4889583;1.769;1.625;7.420;268.057;64.495;0.000;
Europa;Jupiter;671100;0.0094;88.970;171.016;0.466;219.106;101.3747242;3.551;1.394;30.184;268.084;64.506;0.016;
Ganymede;Jupiter;1070400;0.0013;192.417;317.540;0.177;63.552;50.3176072;7.155;63.549;132.654;268.168;64.543;0.068;
Callisto;Jupiter;1882700;0.0074;52.643;181.408;0.192;298.848;21.5710728;16.69;205.75;338.82;268.639;64.749;0.356;
Amalthea;Jupiter;181400;0.0032;155.873;185.194;0.380;108.946;722.6317143;0.498;0.196;0.393;268.057;64.495;0.000;
Thebe;Jupiter;221900;0.0176;234.269;135.956;1.080;235.694;533.7002568;0.675;0.398;0.797;268.057;64.495;0.000;
Adrastea;Jupiter;129000;0.0018;328.047;135.673;0.054;228.378;1206.9988064;0.298;0.058;0.116;268.057;64.496;0.000;
Metis;Jupiter;128000;0.0012;297.177;276.047;0.019;146.912;1221.2545982;0.295;0.057;0.115;268.057;64.496;0.000;
Mimas;Saturn;185539;0.0196;332.499;14.848;1.574;173.027;381.9944948;0.942;0.493;0.986;40.589;83.536;0.002;
Enceladus;Saturn;238042;0.0000;0.076;199.686;0.003;342.507;262.7318978;1.370;1.184;2.360;40.586;83.536;0.002;
Tethys;Saturn;294672;0.0001;45.202;243.367;1.091;259.842;190.6979109;1.888;2.490;4.982;40.578;83.537;0.001;
Dione;Saturn;377415;0.0022;284.315;322.232;0.028;290.415;131.5349307;2.737;5.852;11.709;40.544;83.540;0.005;
Rhea;Saturn;527068;0.0002;241.619;179.781;0.333;351.042;79.6900459;4.518;17.939;35.832;40.328;83.559;0.036;
Titan;Saturn;1221865;0.0288;180.532;163.310;0.306;28.060;22.5769756;15.95;352.12;704.60;36.214;83.949;0.629;
Hyperion;Saturn;1500933;0.0232;303.178;86.342;0.615;263.847;16.9199503;21.28;127.99;154.66;36.372;83.862;0.564;
Iapetus;Saturn;3560854;0.0293;271.606;201.789;8.298;81.105;4.5379416;79.33;1676.69;3438.73;284.715;78.749;15.210;
Phoebe;Saturn;12947918;0.1634;342.500;53.038;175.243;241.086;0.6569114;548.02;460.92;723.17;275.954;67.455;26.723;
Janus;Saturn;151450;0.0098;16.012;17.342;0.165;154.175;518.3431513;0.695;0.240;0.482;40.585;83.538;0.000;
Epimetheus;Saturn;151450;0.0161;88.975;80.377;0.353;192.762;518.0979676;0.695;0.240;0.482;40.585;83.538;0.000;
Helene;Saturn;377444;0.0000;33.134;43.186;0.213;163.112;131.5349306;2.737;2.562;11.706;40.544;83.540;0.005;
Telesto;Saturn;294720;0.0002;119.135;260.157;1.180;229.182;190.6979089;1.888;2.489;4.982;40.578;83.537;0.001;
Calypso;Saturn;294721;0.0005;17.470;156.660;1.500;314.226;190.6979089;1.888;2.487;4.983;40.578;83.537;0.001;
Atlas;Saturn;137774;0.0011;210.851;283.282;0.003;236.422;598.3147505;0.602;0.171;0.344;40.585;83.538;0.000;
Prometheus;Saturn;139429;0.0022;37.514;96.886;0.007;319.176;587.2860142;0.613;0.179;0.359;40.585;83.538;0.000;
Pandora;Saturn;141810;0.0042;66.248;125.112;0.050;147.272;572.7878754;0.629;0.190;0.381;40.585;83.538;0.000;
Pan;Saturn;133585;0.0000;103.331;351.187;0.000;52.076;626.0317341;0.575;0.154;0.309;40.583;83.538;0.000;
Methone;Saturn;194402;0.0000;134.636;71.189;0.013;313.562;356.5949252;1.010;0.250;1.158;40.589;83.536;0.002;
Pallene;Saturn;212282;0.0040;16.074;356.229;0.001;123.180;312.0270737;1.154;0.862;1.899;40.579;83.537;0.001;
Polydeuces;Saturn;377222;0.0191;311.847;89.307;0.175;67.936;131.5349306;2.737;5.811;11.695;40.543;83.540;0.005;
Daphnis;Saturn;136504;0.0000;266.931;113.790;0.003;132.867;605.9791512;0.594;0.166;0.334;40.583;83.538;0.000;
Anthe;Saturn;196888;0.0011;138.902;190.473;0.015;287.852;347.3587167;1.036;0.617;1.232;40.583;83.537;0.000;
Aegaeon;Saturn;167425;0.0002;152.905;322.771;0.001;317.202;445.4934177;0.808;0.343;0.688;40.584;83.537;0.001;
Ariel;Uranus;190900;0.0012;115.349;39.481;0.041;22.394;142.8356579;2.520;28.788;57.248;;;;
Umbriel;Uranus;266000;0.0039;84.709;12.469;0.128;33.485;86.8688879;4.144;63.146;126.951;;;;
Titania;Uranus;436300;0.0011;284.400;24.614;0.079;99.771;41.3514246;8.706;161.525;195.369;;;;
Oberon;Uranus;583500;0.0014;104.400;283.088;0.068;279.771;26.7394888;13.46;161.52;195.37;;;;
Miranda;Uranus;129900;0.0013;68.312;311.330;4.338;326.438;254.6906576;1.413;8.913;17.727;;;;
Triton;Neptune;354759;0.0000;66.142;352.257;156.865;177.608;61.2572638;5.877;386.371;687.446;299.456;43.414;0.010;
Nereid;Neptune;5513818;0.7507;281.117;216.692;7.090;335.570;0.9996276;360.13;8091.45;9455.73;269.302;69.117;30.011;
